Season End,Team,Average Distance to Away Games,Squad Value,Net Summer Transfer Spend,Retained Manager?,Average Attendance,Wage Bill,Retained Captain?,Previous Season Disciplinary Points,Net Number of Transfers,Previous Season Goal Difference,Previous Season Position,Position Bin
2022,Southampton,216,249250000,2580000,0,29817,52580000,1,67,-4,-21,15,2
2022,Tottenham,161,595250000,52380000,1,56234,110190000,1,57,-4,23,7,2
2022,Watford,152,130000000,30650000,0,20590,41380000,0,85,-5,33,2,2
2022,West Ham,158,349450000,60060000,1,59151,74556000,1,57,-1,15,6,2
2022,Wolverhampton,164,363600000,4960000,0,30642,57270000,1,54,3,-16,13,2
2023,Arsenal,153,935000000,144080000,1,60186,101660000,0,72,1,13,5,2
2023,Aston Villa,152,466000000,39440000,1,41679,100620000,0,86,0,-2,14,2
2023,Bournemouth,225,243350000,71020000,0,10309,38428000,0,114,2,-25,19,1
2023,Brentford,166,323300000,40940000,1,17079,32136000,0,70,3,-8,13,1
2023,Brighton,202,347600000,-70230000,1,31477,38376000,1,83,-2,-2,9,1
2023,Chelsea,156,1020000000,144080000,1,40002,190060000,1,68,-2,43,3,1
2023,Crystal Palace,163,299500000,35170000,1,25213,66820000,1,68,1,4,12,0
2023,Everton,212,352900000,-21700000,1,39240,84812000,1,100,2,-23,16,0
2023,Fulham,161,246900000,42140000,1,23746,54340000,1,80,3,-26,18,0
2023,Leeds,223,262200000,42890000,0,36566,49374000,1,115,3,-37,17,0
2023,Leicester,145,449900000,-27400000,0,31887,78780000,0,59,-1,3,8,0
2023,Liverpool,210,879000000,48380000,1,53179,161980000,1,55,-5,68,2,0
2023,Manchester City,214,1050000000,-9970000,1,53249,194740000,0,47,-6,73,1,1
2023,Manchester United,216,859200000,187350000,0,74645,228514000,1,82,0,0,6,0
2023,Newcastle,322,501100000,147050000,1,52102,82836000,1,86,4,-18,11,0
2023,Nottingham Forest,194,315850000,162600000,1,29188,53430000,0,92,11,33,4,0
2023,Southampton,200,416400000,123970000,0,30464,49556000,1,70,3,-24,15,1
2023,Tottenham,154,680300000,118930000,1,61585,109330000,1,69,4,29,4,0
2023,West Ham,155,453300000,147390000,1,62462,82420000,1,57,4,9,7,2
2023,Wolverhampton,166,407200000,97640000,0,31345,52182000,0,62,0,-5,10,1
2024,Arsenal,183,1180000000,145200000,1,60236,166036000,1,51,-5,45,2,2
2024,Aston Villa,182,655600000,67260000,1,41921,117000000,1,85,-3,5,7,2
2024,Bournemouth,293,384450000,108010000,1,11107,53794000,1,68,0,-34,15,2
2024,Brentford,186,414880000,53110000,1,17082,39936000,1,57,-2,12,9,2
2024,Brighton,265,511750000,-73700000,1,31543,62400000,1,58,4,19,6,0
2024,Burnley,267,253430000,107250000,1,21191,38506000,1,90,8,-19,18,0
2024,Chelsea,170,946000000,145200000,0,39579,155324000,0,86,2,-9,12,1
2024,Crystal Palace,202,441700000,57830000,1,24885,69050000,0,86,-1,-9,11,0
2024,Everton,249,331400000,-36230000,0,39042,78978000,1,85,-6,-23,17,1
2024,Fulham,188,324300000,13820000,1,24301,64610000,1,85,4,2,10,1
2024,Liverpool,243,941900000,95240000,1,55809,136240000,0,63,1,28,5,2
2024,Luton,172,115550000,-25620000,1,11278,24570000,0,95,4,-33,20,2
2024,Manchester City,227,1380000000,11670000,1,53215,200668000,0,49,0,62,1,0
2024,Manchester United,242,724650000,125360000,1,73534,205756000,0,88,-6,15,3,1
2024,Newcastle,370,648950000,92930000,1,52153,84500000,1,66,1,35,4,1
2024,Nottingham Forest,193,387250000,42160000,1,29386,72050000,0,84,-3,-30,16,1
2024,Sheffield United,201,122000000,36050000,0,29962,28756000,0,111,3,34,2,1
2024,Tottenham,183,793300000,132830000,0,61459,117520000,0,87,5,7,8,1
2024,West Ham,199,439600000,-29900000,1,62464,95316000,0,43,2,-13,14,2
2024,Wolverhampton,189,349800000,-64140000,0,31037,53820000,0,110,-5,-27,13,2
